1,5-18-2022,Maranhão,Caixa de som,4,79.00 
2,7-24-2022,Santa Catarina,Notebook,9,3789.00 
3,12-20-2022,Rio de Janeiro,Notebook,3,3789.00 
4,1-22-2022,Espírito Santo,Nobreak,9,1279.00 
5,9-11-2022,Tocantins,Impressora,9,699.00 
6,4-9-2022,São Paulo,PC,5,5900.00 
7,6-12-2022,São Paulo,Impressora,8,699.00 
8,8-25-2022,Pará,Impressora,7,699.00 
9,6-17-2022,Minas Gerais,Webcam,8,150.00 
10,9-17-2022,Pará,Nobreak,7,1279.00 
11,8-12-2022,Goiás,Impressora,5,699.00 
12,4-10-2022,Rio de Janeiro,Nobreak,2,1279.00 
13,8-3-2022,Bahia,Webcam,8,150.00 
14,7-15-2022,Distrito Federal,Impressora,4,699.00 
15,12-8-2022,São Paulo,Caixa de som,4,79.00 
16,9-24-2022,São Paulo,Nobreak,9,1279.00 
17,9-13-2022,São Paulo,Notebook,4,3789.00 
18,2-3-2022,Rio de Janeiro,Teclado,1,180.00 
19,11-17-2022,Rio Grande do Sul,Caixa de som,4,79.00 
20,12-15-2022,Ceará,Webcam,10,150.00 
21,1-9-2022,Espírito Santo,Tablet,9,1349.00 
22,9-24-2022,São Paulo,Nobreak,7,1279.00 
23,4-6-2022,São Paulo,Notebook,7,3789.00 
24,12-8-2022,Alagoas,Nobreak,1,1279.00 
25,11-20-2022,Distrito Federal,Mouse,5,112.00 
26,6-8-2022,Minas Gerais,Webcam,9,150.00 
27,1-24-2022,Rio de Janeiro,Monitor,3,1200.00 
28,4-25-2022,Rio Grande do Sul,PC,1,5900.00 
29,8-8-2022,Maranhão,Notebook,1,3789.00 
30,7-16-2022,São Paulo,Notebook,1,3789.00 
31,2-11-2022,Rio Grande do Sul,Caixa de som,7,79.00 
32,6-8-2022,São Paulo,Impressora,1,699.00 
33,4-15-2022,Paraná,PC,7,5900.00 
34,3-6-2022,São Paulo,Nobreak,9,1279.00 
35,7-28-2022,São Paulo,Mouse,7,112.00 
36,12-8-2022,Rio Grande do Norte,Mouse,6,112.00 
37,12-26-2022,Rio Grande do Sul,Webcam,1,150.00 
38,7-1-2022,Minas Gerais,Webcam,8,150.00 
39,7-1-2022,São Paulo,Teclado,5,180.00 
40,2-2-2022,Mato Grosso do Sul,Notebook,5,3789.00 
41,8-29-2022,Minas Gerais,Notebook,1,3789.00 
42,3-11-2022,São Paulo,Impressora,3,699.00 
43,10-28-2022,São Paulo,Webcam,6,150.00 
44,11-12-2022,São Paulo,Monitor,7,1200.00 
45,4-21-2022,São Paulo,Impressora,10,699.00 
46,7-26-2022,Minas Gerais,Notebook,5,3789.00 
47,2-27-2022,São Paulo,Nobreak,6,1279.00 
48,6-19-2022,Distrito Federal,Mouse,2,112.00 
49,10-11-2022,São Paulo,Tablet,1,1349.00 
50,5-15-2022,Rio de Janeiro,PC,4,5900.00 
51,11-14-2022,São Paulo,Nobreak,5,1279.00 
52,5-29-2022,São Paulo,Webcam,8,150.00 
53,6-9-2022,Rio de Janeiro,Impressora,10,699.00 
54,7-26-2022,Santa Catarina,Notebook,4,3789.00 
55,9-4-2022,São Paulo,Mouse,3,112.00 
56,3-14-2022,Ceará,Impressora,9,699.00 
57,11-27-2022,São Paulo,Notebook,6,3789.00 
58,10-15-2022,Minas Gerais,Teclado,5,180.00 
59,11-2-2022,Santa Catarina,Impressora,1,699.00 
60,12-4-2022,Rio de Janeiro,Notebook,7,3789.00 
61,7-1-2022,São Paulo,Monitor,8,1200.00 
62,5-11-2022,Pernambuco,Notebook,2,3789.00 
63,6-25-2022,Goiás,Caixa de som,6,79.00 
64,11-13-2022,Mato Grosso,Mouse,1,112.00 
65,1-24-2022,Santa Catarina,Teclado,1,180.00 
66,8-10-2022,São Paulo,Teclado,10,180.00 
67,7-13-2022,Mato Grosso,PC,10,5900.00 
68,4-17-2022,Rio Grande do Sul,Notebook,6,3789.00 
69,5-20-2022,Minas Gerais,Notebook,8,3789.00 
70,4-12-2022,São Paulo,Webcam,1,150.00 
71,2-27-2022,Santa Catarina,Monitor,10,1200.00 
72,2-28-2022,São Paulo,PC,9,5900.00 
73,4-21-2022,Pernambuco,Tablet,5,1349.00 
74,9-19-2022,São Paulo,PC,6,5900.00 
75,6-24-2022,Santa Catarina,Webcam,7,150.00 
76,5-26-2022,Distrito Federal,Webcam,8,150.00 
77,7-27-2022,São Paulo,Nobreak,10,1279.00 
78,6-17-2022,Bahia,Nobreak,6,1279.00 
79,1-27-2022,Bahia,Notebook,3,3789.00 
80,4-5-2022,Paraná,Impressora,8,699.00 
81,4-28-2022,Rio de Janeiro,Impressora,7,699.00 
82,6-18-2022,São Paulo,Webcam,4,150.00 
83,1-29-2022,Minas Gerais,Impressora,6,699.00 
84,9-29-2022,Rio de Janeiro,PC,9,5900.00 
85,10-5-2022,Rio de Janeiro,Caixa de som,2,79.00 
86,4-28-2022,São Paulo,Webcam,5,150.00 
87,4-30-2022,São Paulo,Nobreak,8,1279.00 
88,8-22-2022,Rio Grande do Sul,PC,8,5900.00 
89,2-11-2022,São Paulo,Tablet,10,1349.00 
90,1-25-2022,São Paulo,Caixa de som,5,79.00 
91,11-2-2022,Minas Gerais,Monitor,9,1200.00 
92,4-13-2022,Maranhão,Monitor,4,1200.00 
93,3-10-2022,São Paulo,Notebook,10,3789.00 
94,3-27-2022,Rio de Janeiro,Nobreak,10,1279.00 
95,6-29-2022,São Paulo,PC,10,5900.00 
96,9-30-2022,Espírito Santo,Monitor,1,1200.00 
97,9-21-2022,São Paulo,Mouse,9,112.00 
98,1-12-2022,São Paulo,Caixa de som,3,79.00 
99,7-7-2022,Espírito Santo,Caixa de som,4,79.00 
100,10-11-2022,Rio de Janeiro,Monitor,10,1200.00 
101,6-24-2022,Pernambuco,Monitor,8,1200.00 
102,8-25-2022,Pará,Nobreak,1,1279.00 
103,11-26-2022,Sergipe,Notebook,4,3789.00 
104,4-17-2022,Mato Grosso,Tablet,7,1349.00 
105,8-27-2022,Rio Grande do Sul,Impressora,6,699.00 
106,10-24-2022,Paraná,Notebook,2,3789.00 
107,1-4-2022,São Paulo,Caixa de som,10,79.00 
108,3-24-2022,Paraná,Notebook,2,3789.00 
109,5-15-2022,Distrito Federal,Monitor,8,1200.00 
110,12-26-2022,Minas Gerais,Monitor,8,1200.00 
111,9-18-2022,São Paulo,Caixa de som,8,79.00 
112,5-23-2022,Rio de Janeiro,Impressora,8,699.00 
113,11-28-2022,Goiás,Notebook,3,3789.00 
114,4-1-2022,São Paulo,Mouse,4,112.00 
115,7-28-2022,Goiás,Teclado,10,180.00 
116,8-22-2022,Minas Gerais,Nobreak,9,1279.00 
117,3-28-2022,São Paulo,Mouse,7,112.00 
118,11-15-2022,Paraíba,Impressora,2,699.00 
119,10-6-2022,Minas Gerais,PC,4,5900.00 
120,4-17-2022,Mato Grosso do Sul,Mouse,4,112.00 
121,3-5-2022,Rio de Janeiro,Notebook,1,3789.00 
122,2-24-2022,São Paulo,Impressora,8,699.00 
123,11-16-2022,Santa Catarina,Monitor,5,1200.00 
124,4-19-2022,Rio Grande do Sul,Monitor,7,1200.00 
125,12-22-2022,Amazonas,Teclado,8,180.00 
126,12-17-2022,Rio de Janeiro,Impressora,4,699.00 
127,6-15-2022,Pernambuco,Impressora,4,699.00 
128,4-11-2022,Pernambuco,Impressora,3,699.00 
129,7-10-2022,São Paulo,Notebook,6,3789.00 
